slug,repo,tier,platform,desktop_build,ato_cli_build,ato_home,recipe_source,expected_runtime_shape,expected_port,provider,result,desktop_launch,consent_flow,provider_flow,session_ready,webview_rendered,stop_from_desktop,orphan_check,screenshot_path,logs_path,receipt_path,first_blocker,follow_up_issue,notes
memos,usememos/memos,A,windows-x86_64,"ato-desktop debug v0.5.5 (dev 0b3f9826, post-#441)","target/debug/ato.exe v0.5.5 (post-#441, source_build_shell_unavailable marker present)",C:\Users\koh\AppData\Local\Temp\aodd-369-home (clean temp),capsule://github.com/usememos/memos,OCI single container (Go+SQLite),5230,"Podman 5.8.2 (podman-machine-default, WSL, rootless)",PASS,YES (omnibar NavigateToUrl),auto (no prompt),podman ready,YES (10s),app UI (Memos signup form),YES,"containers clean; NOTE: per-session podman network left (cross-cutting, #450)",docs/aodd/receipts/desktop-recipe-launch-20260604/memos/screenshot.png,docs/aodd/receipts/desktop-recipe-launch-20260604/memos/,docs/aodd/receipts/desktop-recipe-launch-20260604/memos/receipt.md,,,GitHub URL resolved to catalog OCI recipe (no /bin/sh). Memos 'create account' screen rendered. Container clean after stop.
uptime-kuma,louislam/uptime-kuma,A,windows-x86_64,"ato-desktop debug v0.5.5 (dev 0b3f9826, post-#441)","target/debug/ato.exe v0.5.5 (post-#441, source_build_shell_unavailable marker present)",C:\Users\koh\AppData\Local\Temp\aodd-369-home (clean temp),capsule://github.com/louislam/uptime-kuma,OCI single container (Node+SQLite),3001,"Podman 5.8.2 (podman-machine-default, WSL, rootless)",PASS,YES (omnibar NavigateToUrl),auto,podman ready,YES (20s),app UI (Admin account setup),YES,"containers clean; NOTE: per-session podman network left (cross-cutting, #450)",docs/aodd/receipts/desktop-recipe-launch-20260604/uptime-kuma/screenshot.png,docs/aodd/receipts/desktop-recipe-launch-20260604/uptime-kuma/,docs/aodd/receipts/desktop-recipe-launch-20260604/uptime-kuma/receipt.md,,,Setup wizard rendered. Container clean after stop.
pocketbase,pocketbase/pocketbase,A,windows-x86_64,"ato-desktop debug v0.5.5 (dev 0b3f9826, post-#441)","target/debug/ato.exe v0.5.5 (post-#441, source_build_shell_unavailable marker present)",C:\Users\koh\AppData\Local\Temp\aodd-369-home (clean temp),capsule://github.com/pocketbase/pocketbase,OCI single container (Go),8090,"Podman 5.8.2 (podman-machine-default, WSL, rootless)",DEGRADED,YES (omnibar NavigateToUrl),auto,podman ready,YES (15s),404 JSON at / (admin UI is at /_/),YES,"containers clean; NOTE: per-session podman network left (cross-cutting, #450)",docs/aodd/receipts/desktop-recipe-launch-20260604/pocketbase/screenshot.png,docs/aodd/receipts/desktop-recipe-launch-20260604/pocketbase/,docs/aodd/receipts/desktop-recipe-launch-20260604/pocketbase/receipt.md,"WebView entry path is '/' which PocketBase answers with {""message"":""File not found"",""status"":404}; the dashboard lives at /_/",#447 (pocketbase entry path /_/),"Container up + WebView renders, but lands on a 404 instead of the admin UI."
homepage,gethomepage/homepage,A,windows-x86_64,"ato-desktop debug v0.5.5 (dev 0b3f9826, post-#441)","target/debug/ato.exe v0.5.5 (post-#441, source_build_shell_unavailable marker present)",C:\Users\koh\AppData\Local\Temp\aodd-369-home (clean temp),capsule://github.com/gethomepage/homepage,OCI single container (Node),3000,"Podman 5.8.2 (podman-machine-default, WSL, rootless)",DEGRADED,YES (omnibar NavigateToUrl),auto,podman ready,YES (45s),app error page: 'Host validation failed. See logs for more details.',YES,"containers clean; NOTE: per-session podman network left (cross-cutting, #450)",docs/aodd/receipts/desktop-recipe-launch-20260604/homepage/screenshot.png,docs/aodd/receipts/desktop-recipe-launch-20260604/homepage/,docs/aodd/receipts/desktop-recipe-launch-20260604/homepage/receipt.md,homepage rejects the 127.0.0.1:<port> Host header; recipe does not set HOMEPAGE_ALLOWED_HOSTS,#446 (HOMEPAGE_ALLOWED_HOSTS),WebView renders homepage's own error screen rather than the dashboard.
node-red,node-red/node-red,A,windows-x86_64,"ato-desktop debug v0.5.5 (dev 0b3f9826, post-#441)","target/debug/ato.exe v0.5.5 (post-#441, source_build_shell_unavailable marker present)",C:\Users\koh\AppData\Local\Temp\aodd-369-home (clean temp),capsule://github.com/node-red/node-red,OCI single container (Node),1880,"Podman 5.8.2 (podman-machine-default, WSL, rootless)",FAIL,YES (omnibar NavigateToUrl),auto,podman ready,NO,none (no guest-capsule pane; container exited before ready),YES (no active session),"containers clean; NOTE: per-session podman network left (cross-cutting, #450)",,docs/aodd/receipts/desktop-recipe-launch-20260604/node-red/,docs/aodd/receipts/desktop-recipe-launch-20260604/node-red/receipt.md,"container exits at startup: EPERM: operation not permitted, copyfile '/usr/src/node-red/node_modules/node-red/settings.js' -> '/data/settings.js' (state bind-mount not writable by container user on rootless Podman/WSL)",#444 (Windows/Podman state bind-mount ownership),No container at ready or after stop (clean). Same mount-permission class as blinko.
fresh-rss,FreshRSS/FreshRSS,A,windows-x86_64,"ato-desktop debug v0.5.5 (dev 0b3f9826, post-#441)","target/debug/ato.exe v0.5.5 (post-#441, source_build_shell_unavailable marker present)",C:\Users\koh\AppData\Local\Temp\aodd-369-home (clean temp),capsule://github.com/FreshRSS/FreshRSS,OCI single container (PHP),80,"Podman 5.8.2 (podman-machine-default, WSL, rootless)",PASS,YES (omnibar NavigateToUrl),auto,podman ready,YES (35s),"app UI (FreshRSS install wizard step 1, v1.29.1)",YES,"containers clean; NOTE: per-session podman network left (cross-cutting, #450)",docs/aodd/receipts/desktop-recipe-launch-20260604/fresh-rss/screenshot.png,docs/aodd/receipts/desktop-recipe-launch-20260604/fresh-rss/,docs/aodd/receipts/desktop-recipe-launch-20260604/fresh-rss/receipt.md,,,Install wizard rendered. Container clean after stop.
linkwarden,linkwarden/linkwarden,A,windows-x86_64,"ato-desktop debug v0.5.5 (dev 0b3f9826, post-#441)","target/debug/ato.exe v0.5.5 (post-#441, source_build_shell_unavailable marker present)",C:\Users\koh\AppData\Local\Temp\aodd-369-home (clean temp),capsule://github.com/linkwarden/linkwarden,app+postgres (intended),3000,"Podman 5.8.2 (podman-machine-default, WSL, rootless)",SKIPPED_MISSING_RECIPE,YES (omnibar NavigateToUrl),n/a,n/a,NO,none,YES (no active session),"containers clean; NOTE: per-session podman network left (cross-cutting, #450)",,docs/aodd/receipts/desktop-recipe-launch-20260604/linkwarden/,docs/aodd/receipts/desktop-recipe-launch-20260604/linkwarden/receipt.md,"not registered in the bundled sample-recipe catalog (SAMPLE_RECIPE_CATALOG); GitHub handle resolved to raw source-build, which has no capsule.toml -> preflight failed",#449 (register linkwarden/langflow in catalog),Confirms the #377 split from the other side: unregistered handles take the raw GitHub source-build path.
blinko,blinkospace/blinko,A,windows-x86_64,"ato-desktop debug v0.5.5 (dev 0b3f9826, post-#441)","target/debug/ato.exe v0.5.5 (post-#441, source_build_shell_unavailable marker present)",C:\Users\koh\AppData\Local\Temp\aodd-369-home (clean temp),capsule://github.com/blinkospace/blinko,OCI 2-service (app + postgres:14),1111,"Podman 5.8.2 (podman-machine-default, WSL, rootless)",FAIL,YES (omnibar NavigateToUrl),auto,podman ready,NO,none (db service exited before ready),YES (no active session),"containers clean; NOTE: per-session podman network left (cross-cutting, #450)",,docs/aodd/receipts/desktop-recipe-launch-20260604/blinko/,docs/aodd/receipts/desktop-recipe-launch-20260604/blinko/receipt.md,postgres 'db' service exits: chmod: changing permissions of '/var/lib/postgresql/data': Operation not permitted; initdb cannot fix permissions on the bind-mounted data dir (rootless Podman/WSL). Surfaced as E999 'orchestration services failed to start in-process' (cause: service 'db' exited before readiness check passed).,#444 (state bind-mount ownership) + #445 (E999 vs typed exited-before-ready),Same mount-permission root cause as node-red. No containers after stop (clean).
langflow,langflow-ai/langflow,A,windows-x86_64,"ato-desktop debug v0.5.5 (dev 0b3f9826, post-#441)","target/debug/ato.exe v0.5.5 (post-#441, source_build_shell_unavailable marker present)",C:\Users\koh\AppData\Local\Temp\aodd-369-home (clean temp),capsule://github.com/langflow-ai/langflow,Python/container (intended),7860,"Podman 5.8.2 (podman-machine-default, WSL, rootless)",SKIPPED_MISSING_RECIPE,YES (omnibar NavigateToUrl),n/a,n/a,NO,none,YES (no active session),"containers clean; NOTE: per-session podman network left (cross-cutting, #450)",,docs/aodd/receipts/desktop-recipe-launch-20260604/langflow/,docs/aodd/receipts/desktop-recipe-launch-20260604/langflow/receipt.md,"not registered in the bundled sample-recipe catalog; GitHub handle resolved to raw source-build, capsule.toml absent -> preflight failed (consent wizard shows error state)",#449 (register linkwarden/langflow in catalog),Same class as linkwarden.
excalidraw,excalidraw/excalidraw,B,windows-x86_64,"ato-desktop debug v0.5.5 (dev 0b3f9826, post-#441)","target/debug/ato.exe v0.5.5 (post-#441, source_build_shell_unavailable marker present)",C:\Users\koh\AppData\Local\Temp\aodd-369-home (clean temp),capsule://github.com/excalidraw/excalidraw,OCI single container (nginx static),8080,"Podman 5.8.2 (podman-machine-default, WSL, rootless)",PASS,YES (omnibar NavigateToUrl),auto,podman ready,YES (10s),app UI (Excalidraw canvas + toolbar),YES,"containers clean; NOTE: per-session podman network left (cross-cutting, #450)",docs/aodd/receipts/desktop-recipe-launch-20260604/excalidraw/screenshot.png,docs/aodd/receipts/desktop-recipe-launch-20260604/excalidraw/,docs/aodd/receipts/desktop-recipe-launch-20260604/excalidraw/receipt.md,,,"#377 regression anchor: GitHub URL -> catalog OCI recipe, NO /bin/sh source-build. Full Excalidraw UI rendered. Clean after stop."
